UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 Apr05 ?        02:38:34 /lib/systemd/systemd --system --deserialize 40
root           2       0  0 Apr05 ?        00:00:58 [kthreadd]
root           3       2  0 Apr05 ?        00:00:00 [rcu_gp]
root           4       2  0 Apr05 ?        00:00:00 [rcu_par_gp]
root           6       2  0 Apr05 ?        00:00:00 [kworker/0:0H-events_highpri]
root           8       2  0 Apr05 ?        00:00:00 [mm_percpu_wq]
root           9       2  0 Apr05 ?        00:00:00 [rcu_tasks_rude_]
root          10       2  0 Apr05 ?        00:00:00 [rcu_tasks_trace]
root          11       2  0 Apr05 ?        00:20:07 [ksoftirqd/0]
root          12       2  0 Apr05 ?        05:34:19 [rcu_sched]
root          13       2  0 Apr05 ?        00:02:54 [migration/0]
root          15       2  0 Apr05 ?        00:00:00 [cpuhp/0]
root          16       2  0 Apr05 ?        00:00:00 [cpuhp/1]
root          17       2  0 Apr05 ?        00:02:46 [migration/1]
root          18       2  0 Apr05 ?        00:23:50 [ksoftirqd/1]
root          20       2  0 Apr05 ?        00:00:00 [kworker/1:0H-kblockd]
root          21       2  0 Apr05 ?        00:00:00 [cpuhp/2]
root          22       2  0 Apr05 ?        00:02:44 [migration/2]
root          23       2  0 Apr05 ?        00:22:47 [ksoftirqd/2]
root          25       2  0 Apr05 ?        00:00:00 [kworker/2:0H-events_highpri]
root          26       2  0 Apr05 ?        00:00:00 [cpuhp/3]
root          27       2  0 Apr05 ?        00:02:45 [migration/3]
root          28       2  0 Apr05 ?        00:35:41 [ksoftirqd/3]
root          31       2  0 Apr05 ?        00:00:00 [cpuhp/4]
root          32       2  0 Apr05 ?        00:02:46 [migration/4]
root          33       2  0 Apr05 ?        00:20:29 [ksoftirqd/4]
root          35       2  0 Apr05 ?        00:00:00 [kworker/4:0H-kblockd]
root          36       2  0 Apr05 ?        00:00:00 [cpuhp/5]
root          37       2  0 Apr05 ?        00:02:50 [migration/5]
root          38       2  0 Apr05 ?        00:19:45 [ksoftirqd/5]
root          40       2  0 Apr05 ?        00:00:00 [kworker/5:0H-kblockd]
root          41       2  0 Apr05 ?        00:00:00 [cpuhp/6]
root          42       2  0 Apr05 ?        00:02:48 [migration/6]
root          43       2  0 Apr05 ?        00:19:30 [ksoftirqd/6]
root          46       2  0 Apr05 ?        00:00:00 [cpuhp/7]
root          47       2  0 Apr05 ?        00:02:52 [migration/7]
root          48       2  0 Apr05 ?        01:41:40 [ksoftirqd/7]
root          50       2  0 Apr05 ?        00:00:00 [kworker/7:0H-events_highpri]
root          59       2  0 Apr05 ?        00:00:00 [kdevtmpfs]
root          60       2  0 Apr05 ?        00:00:00 [netns]
root          61       2  0 Apr05 ?        00:00:00 [kauditd]
root          62       2  0 Apr05 ?        00:00:41 [khungtaskd]
root          63       2  0 Apr05 ?        00:00:00 [oom_reaper]
root          64       2  0 Apr05 ?        00:00:00 [writeback]
root          65       2  0 Apr05 ?        05:15:54 [kcompactd0]
root          66       2  0 Apr05 ?        00:00:00 [ksmd]
root          67       2  0 Apr05 ?        00:27:40 [khugepaged]
root          88       2  0 Apr05 ?        00:00:00 [kintegrityd]
root          89       2  0 Apr05 ?        00:00:00 [kblockd]
root          90       2  0 Apr05 ?        00:00:00 [blkcg_punt_bio]
root          91       2  0 Apr05 ?        00:00:00 [edac-poller]
root          92       2  0 Apr05 ?        00:00:00 [devfreq_wq]
root          94       2  0 Apr05 ?        00:12:09 [kworker/0:1H-kblockd]
root          97       2  0 Apr05 ?        00:38:56 [kswapd0]
root          98       2  0 Apr05 ?        00:00:00 [kthrotld]
root          99       2  0 Apr05 ?        00:00:00 [acpi_thermal_pm]
root         100       2  0 Apr05 ?        00:00:00 [ipv6_addrconf]
root         109       2  0 Apr05 ?        00:00:00 [kstrp]
root         112       2  0 Apr05 ?        00:00:00 [zswap-shrink]
root         136       2  0 Apr05 ?        00:12:14 [kworker/3:1H-kblockd]
root         171       2  0 Apr05 ?        00:14:03 [kworker/7:1H-kblockd]
root         172       2  0 Apr05 ?        00:00:00 [scsi_eh_0]
root         173       2  0 Apr05 ?        00:00:00 [scsi_tmf_0]
root         174       2  0 Apr05 ?        00:00:00 [ata_sff]
root         175       2  0 Apr05 ?        00:12:37 [kworker/6:1H-kblockd]
root         177       2  0 Apr05 ?        00:00:00 [scsi_eh_1]
root         178       2  0 Apr05 ?        00:00:00 [scsi_tmf_1]
root         179       2  0 Apr05 ?        00:00:00 [scsi_eh_2]
root         180       2  0 Apr05 ?        00:00:00 [scsi_tmf_2]
root         181       2  0 Apr05 ?        00:00:00 [scsi_eh_3]
root         182       2  0 Apr05 ?        00:00:00 [scsi_tmf_3]
root         183       2  0 Apr05 ?        00:00:00 [scsi_eh_4]
root         184       2  0 Apr05 ?        00:00:00 [scsi_tmf_4]
root         185       2  0 Apr05 ?        00:00:00 [scsi_eh_5]
root         186       2  0 Apr05 ?        00:00:00 [scsi_tmf_5]
root         187       2  0 Apr05 ?        00:00:00 [scsi_eh_6]
root         188       2  0 Apr05 ?        00:00:00 [scsi_tmf_6]
root         189       2  0 Apr05 ?        00:00:00 [scsi_eh_7]
root         190       2  0 Apr05 ?        00:00:00 [scsi_tmf_7]
root         191       2  0 Apr05 ?        00:00:00 [scsi_eh_8]
