    PID TTY          TIME CMD
      1 ?        00:01:39 systemd
      2 ?        00:00:00 kthreadd
      3 ?        00:00:00 rcu_gp
      4 ?        00:00:00 rcu_par_gp
      5 ?        00:00:00 slub_flushwq
      6 ?        00:00:00 netns
     10 ?        00:00:00 mm_percpu_wq
     11 ?        00:00:00 rcu_tasks_kthread
     12 ?        00:00:00 rcu_tasks_rude_kthread
     13 ?        00:00:00 rcu_tasks_trace_kthread
     14 ?        00:00:09 ksoftirqd/0
     15 ?        00:03:25 rcu_preempt
     16 ?        00:00:01 migration/0
     18 ?        00:00:00 cpuhp/0
     19 ?        00:00:00 cpuhp/1
     20 ?        00:00:01 migration/1
     21 ?        00:00:09 ksoftirqd/1
     23 ?        00:00:00 kworker/1:0H-events_highpri
     24 ?        00:00:00 cpuhp/2
     25 ?        00:00:01 migration/2
     26 ?        00:00:09 ksoftirqd/2
     28 ?        00:00:00 kworker/2:0H-events_highpri
     29 ?        00:00:00 cpuhp/3
     30 ?        00:00:01 migration/3
     31 ?        00:00:42 ksoftirqd/3
     33 ?        00:00:00 kworker/3:0H-events_highpri
     34 ?        00:00:00 cpuhp/4
     35 ?        00:00:01 migration/4
     36 ?        00:00:16 ksoftirqd/4
     38 ?        00:00:00 kworker/4:0H-events_highpri
     39 ?        00:00:00 cpuhp/5
     40 ?        00:00:01 migration/5
     41 ?        00:00:08 ksoftirqd/5
     43 ?        00:00:00 kworker/5:0H-events_highpri
     44 ?        00:00:00 cpuhp/6
     45 ?        00:00:01 migration/6
     46 ?        00:00:08 ksoftirqd/6
     48 ?        00:00:00 kworker/6:0H-events_highpri
     49 ?        00:00:00 cpuhp/7
     50 ?        00:00:01 migration/7
     51 ?        00:00:08 ksoftirqd/7
     53 ?        00:00:00 kworker/7:0H-events_highpri
     62 ?        00:00:00 kdevtmpfs
     63 ?        00:00:00 inet_frag_wq
     64 ?        00:00:00 kauditd
     65 ?        00:00:00 khungtaskd
     66 ?        00:00:00 oom_reaper
     67 ?        00:00:00 writeback
     68 ?        00:00:10 kcompactd0
     69 ?        00:00:00 ksmd
     70 ?        00:00:10 khugepaged
     71 ?        00:00:00 kintegrityd
     72 ?        00:00:00 kblockd
     73 ?        00:00:00 blkcg_punt_bio
     74 ?        00:00:00 tpm_dev_wq
     75 ?        00:00:00 edac-poller
     76 ?        00:00:00 devfreq_wq
     78 ?        00:00:00 kworker/0:1H-kblockd
     79 ?        00:00:06 kswapd0
     88 ?        00:00:00 kthrotld
     90 ?        00:00:00 acpi_thermal_pm
     93 ?        00:00:00 mld
     94 ?        00:00:00 ipv6_addrconf
